count,type,sub
225,0,1
155,0,1
79,0,1
78,0,1
54,0,1
48,0,1
34,0,1
27,0,1
23,0,1
17,0,1
17,0,1
15,0,1
14,0,1
14,0,1
13,0,1
13,0,1
13,0,1
10,0,1
10,0,1
10,0,1
10,0,1
9,0,1
9,0,1
8,0,1
8,0,1
8,0,1
7,0,1
7,0,1
7,0,1
6,0,1
5,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
3,0,1
3,0,1
3,0,1
3,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,0,1
3726,0,1
1912,0,1
1546,0,1
1367,0,1
1190,0,1
969,0,1
950,0,1
948,0,1
893,0,1
768,0,1
666,0,1
604,0,1
599,0,1
586,0,1
541,0,1
528,0,1
492,0,1
421,0,1
405,0,1
356,0,1
295,0,1
289,0,1
283,0,1
270,0,1
269,0,1
244,0,1
241,0,1
234,0,1
223,0,1
222,0,1
221,0,1
216,0,1
204,0,1
204,0,1
198,0,1
190,0,1
176,0,1
175,0,1
159,0,1
157,0,1
139,0,1
138,0,1
135,0,1
129,0,1
121,0,1
116,0,1
104,0,1
93,0,1
93,0,1
93,0,1
90,0,1
89,0,1
89,0,1
88,0,1
86,0,1
79,0,1
77,0,1
74,0,1
73,0,1
72,0,1
70,0,1
68,0,1
67,0,1
67,0,1
60,0,1
58,0,1
58,0,1
57,0,1
56,0,1
56,0,1
55,0,1
55,0,1
53,0,1
52,0,1
51,0,1
51,0,1
50,0,1
49,0,1
49,0,1
48,0,1
48,0,1
46,0,1
45,0,1
43,0,1
42,0,1
42,0,1
42,0,1
41,0,1
41,0,1
41,0,1
40,0,1
40,0,1
39,0,1
37,0,1
37,0,1
36,0,1
36,0,1
35,0,1
35,0,1
35,0,1
35,0,1
34,0,1
33,0,1
33,0,1
32,0,1
32,0,1
31,0,1
31,0,1
31,0,1
31,0,1
30,0,1
30,0,1
30,0,1
30,0,1
30,0,1
29,0,1
29,0,1
29,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
27,0,1
27,0,1
27,0,1
27,0,1
27,0,1
27,0,1
26,0,1
25,0,1
25,0,1
25,0,1
24,0,1
24,0,1
23,0,1
23,0,1
23,0,1
23,0,1
22,0,1
22,0,1
22,0,1
22,0,1
22,0,1
22,0,1
22,0,1
22,0,1
22,0,1
22,0,1
21,0,1
21,0,1
21,0,1
21,0,1
21,0,1
21,0,1
21,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
19,0,1
19,0,1
19,0,1
19,0,1
18,0,1
18,0,1
18,0,1
18,0,1
17,0,1
17,0,1
17,0,1
17,0,1
17,0,1
16,0,1
16,0,1
16,0,1
16,0,1
16,0,1
16,0,1
16,0,1
16,0,1
16,0,1
15,0,1
15,0,1
15,0,1
15,0,1
15,0,1
15,0,1
14,0,1
14,0,1
14,0,1
14,0,1
14,0,1
14,0,1
14,0,1
14,0,1
13,0,1
13,0,1
13,0,1
13,0,1
13,0,1
13,0,1
13,0,1
13,0,1
13,0,1
13,0,1
13,0,1
13,0,1
13,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
9,0,1
9,0,1
9,0,1
9,0,1
9,0,1
9,0,1
9,0,1
9,0,1
9,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
8,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
7,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
6,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
4,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
3,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
